id,followers,name,popularity,CLASSES,lof_results
6UBMFaCTZnL1Hr1nTOEblM,40549.0,Gordi,52,50_60_class,1
2NqgE99Ll5vOTvmbN7O2R6,224743.0,Boy & Bear,60,50_60_class,1
1ZcnsSFqWusWlRK01vKE6b,59414.0,Montaigne,56,50_60_class,1
07Q9n9pbwR6jQ8xH4SA46b,95042.0,Justice Crew,51,50_60_class,1
3K40SMapVhc8PxyYFofHff,92064.0,Corbin,60,50_60_class,1
1SFz3S9eSUTc49ysstadiO,75205.0,Boo Seeka,52,50_60_class,1
0NhKCHTPG7Sz62S3zxV1Cf,10618.0,Ecca Vandal,53,50_60_class,1
3Qs1EAnyqWLaNqk0wHS63M,4463.0,Rain Sound Studio,58,50_60_class,1
4QkSD9TRUnMtI8Fq1jXJJe,230244.0,Snail Mail,55,50_60_class,1
49r28kFLIBUEgxnjLUvUwA,1721.0,Michel LeBond,51,50_60_class,1
3vvY6bfFNRymVmylw2vfGy,50.0,Akvavit,57,50_60_class,1
3WPHQWwZQNf7VcbeQFhaXF,725.0,Neon Eyes,58,50_60_class,1
5u0dE6Vw509dFP0YK5y8lc,1497.0,Epic Soundscapes,59,50_60_class,1
6kqOxJqJ4r4cIlbYR4GbP4,2268.0,"oh, the joy.",62,60_70_class,1
35YkpX0zYwHG8vOIhObvxP,2639827.0,Mano Walter,65,60_70_class,1
5I2d294l90n7EMWVNUZczE,55343.0,Lange Frans,57,50_60_class,1
4oVERQ0AxzzQ4zip1nMKlt,77565.0,Gringe,52,50_60_class,1
74ycentHh1YZrW5x4PLnox,30266.0,Wolfpack,55,50_60_class,1
3HL2hJ9MmM9eazDokIndkr,231795.0,SBMG,58,50_60_class,1
5JcSyYpBdqCmjJyVlKh7Yg,35969.0,Rebelion,53,50_60_class,1
758yIKdhJhWL6oTuTSFVV6,34645.0,Dirk Maassen,60,50_60_class,1
2Muef9e20frSc14ocV9TQU,37180.0,Pierrii,56,50_60_class,1
0dSh0CIa0HPd9kJmJSmGQo,59620.0,ISHA,52,50_60_class,1
1LsW7KoHTgRLcZ7Jwt79MR,62531.0,Bart Peeters,52,50_60_class,1
0OQMxt6l70FM2YlLwYDiEn,82437.0,Swing,53,50_60_class,1
5hEZc6Innys0o99gLeha3K,15785.0,Klaus Veen,59,50_60_class,1
1CwqAnNZyIYqC7SWpTUpwk,2454.0,Armen Paul,51,50_60_class,1
5Ld19xtpAR80G2boTcHaVx,103533.0,Harrison Storm,60,50_60_class,1
1QfEfvB62EEl4upf2ANKkR,97780.0,Pip Millett,58,50_60_class,1
2HXioEvQuzCcNmRsImBTET,38834.0,7 Jaws,53,50_60_class,1
60gg31QLbNuGwl12YPBAUK,13156.0,Jordymone9,51,50_60_class,1
3kJ7YsRgaO8ggKD1lw4C2T,2471.0,Dylan Playfair,62,60_70_class,1
2hwy5DELim1AxB1sHPqn4y,7390.0,Gotts Street Park,53,50_60_class,1
0SuC1Z51R9kleDO1pj3Gub,54787.0,Young Ellens,57,50_60_class,1
3Ptyea6E1lJgg6W64f0OQa,7840.0,Yxng Le,56,50_60_class,1
5dWe4yBsjLuIaqVXBoa1lf,3058.0,Echelon,52,50_60_class,1
2gFsmDBM0hkoZPmrO5EdyO,276695.0,Tedeschi Trucks Band,56,50_60_class,1
2pAajGWerK3ghwToNWFENS,460624.0,Puscifer,59,50_60_class,1
0wIb0PhwT3disoWykRhq6V,99427.0,Viktor Vaughn,54,50_60_class,1
5RMUeKq0dZxg9RHE1f0B9P,55833.0,Tm88,54,50_60_class,1
36pVuMIbDJk9Mpbfr5gHja,139879.0,Nurminsky,55,50_60_class,1
0VV516uHWgJoyrBHeUumMp,77434.0,Litvinenko,52,50_60_class,1
3z9G13I73VCCZgf2j7i8q2,23072.0,Offica,65,60_70_class,1
2bHWbDN72wdIF0Y48669zg,8865.0,DJ Goja,56,50_60_class,1
6LArUyIoMiHmDvvOAsE2cd,376805.0,Dream,66,60_70_class,1
41A1tLHviwiCao1vXl1cgd,220464.0,Manny Montes,52,50_60_class,1
15siq5yPjIUocpME8lz02m,114.0,Arbise González,51,50_60_class,1
1JzCCMAjM3FCr9eM3jp0uH,653873.0,Kaleth Morales,52,50_60_class,1
25gsQNkL2qTq778NWyughs,565807.0,Josimar y Su Yambú,58,50_60_class,1
6LjdKBMnP1Da8Oe6WhrN56,493079.0,Aldair Playboy,54,50_60_class,1
348pk4o3EhKmsSahzuClSf,110118.0,CA7RIEL,58,50_60_class,1
2yGXs7AlyNVetlMvwsFXGk,60119.0,Muerejoven,55,50_60_class,1
2JsDK87cAxuUlz4L4izU7A,1185.0,Evlay,53,50_60_class,1
3E12tRURRvPfHz0hAMCFYc,2235.0,Omar Courtz,59,50_60_class,1
30zCgFx32RHel1qUOr7xuL,379889.0,Leoni,54,50_60_class,1
0L0h1GGHeljVSNWwnqbRfL,652654.0,Rose Nascimento,53,50_60_class,1
03TpTPLRclj2iknzWXAXjP,129457.0,Adhemar De Campos,51,50_60_class,1
0nzfP49X2nrzmmkwZf180L,311.0,Gustah,60,50_60_class,1
4NSbUIfUAkaedUIm8eJ631,142691.0,Pato Fu,52,50_60_class,1
7xuzwG9aC7R0ftU6OSs6pX,124196.0,Ls Jack,52,50_60_class,1
07N5hTxdi3rA5cyaf469Ly,2647.0,Circuito Reggae,51,50_60_class,1
5Dyg6H3QJHQV5c7ojyKWyv,1332815.0,Zé Henrique & Gabriel,53,50_60_class,1
2eSyfNgqkRpB4Ggu55P1Gg,40604.0,Gleydson Gavião,51,50_60_class,1
1DCRoiKOntBEezKXznDca4,58672.0,Current Swell,51,50_60_class,1
6NdqC1F1roz6KejkMjoIJK,181813.0,Anjos de Resgate,52,50_60_class,1
0IPQAIkLxcVSsxlTPPn3Bp,484180.0,Soraya Moraes,52,50_60_class,1
4hpKB93agzoncsTXEstSpK,149710.0,Suel,59,50_60_class,1
6DDTbUgrNrVcAJFVrOjmVK,106287.0,Diomedes Chinaski,55,50_60_class,1
5gkNoT08CuWtH3NOwrdvrt,237825.0,Marcela Tais,56,50_60_class,1
1qIAsl3tIpnX0j4BMi0l5g,239073.0,Forfun,54,50_60_class,1
1vOatyeFzcgIItylCnL80I,7355.0,Thunderstorm Sleep,57,50_60_class,1
5kKzlgNRX8FgC6Bni5DNNC,878.0,Dj Victor,55,50_60_class,1
6a5wUPC879Kyfw0aXxVatB,239612.0,Cícero,51,50_60_class,1
5Hr6G2HwK68ZhkjPMwJgrB,47225.0,Patati Patatá,51,50_60_class,1
76IyGPd3y2mBZCljGcke0x,35524.0,Dexter,51,50_60_class,1
0MC6c3SYpS1KdOuzLdEbpa,566925.0,Bonde da Stronda,51,50_60_class,1
4cQ6a3aHARZkZb8ZwqwInF,350109.0,Nani Azevedo,51,50_60_class,1
6EkinzGVGybboT2maC1VyE,146296.0,Ari,51,50_60_class,1
3YxiaVAqjhD6XOl77maT8h,108.0,Wlad Mattos,51,50_60_class,1
0tEbPIVxu2YOmZXOWAkJ52,25446.0,Mr. Dan,56,50_60_class,1
2sFXe6NbmT3k7Qy4N8fE7f,442873.0,Fresno,56,50_60_class,1
6CJhCtmWBiBZu2YHr2dNf0,15786.0,Bia & Nino,56,50_60_class,1
6XgJ4LQHTOtveWKH5V7X56,350499.0,Bokaloka,51,50_60_class,1
0iEEXnLK5t87wh91rNYozv,162974.0,Forró Boys,51,50_60_class,1
3ge4xOaKvWfhRwgx0Rldov,955578.0,MC Guime,51,50_60_class,1
5rTjH3aABAmPM5B6DZebZ7,647171.0,Tiê,53,50_60_class,1
1Ja8qReIBoi7Z6ik0AQ6zS,311424.0,Os Arrais,53,50_60_class,1
0Yjc1aaTwDoJy2KP5xS20r,15263.0,SUBB,52,50_60_class,1
3MDJ79txY73BUpAR7RnJEk,964975.0,Onze:20,60,50_60_class,1
6Y8pfJkEdw4EAST4g9C026,1346890.0,Cleber & Cauan,60,50_60_class,1
7qmf5YAQYjfjBF9C7kkjzs,201697.0,Johnny Hooker,53,50_60_class,1
69AJjk7Kr9O05pUtJjGxF0,6497.0,Thammy,52,50_60_class,1
6wOGRxxl44uPr3DNjdocTt,38705.0,Elizeu Alves,52,50_60_class,1
0fpg4Y7Q6ZRDSppLLt7G0n,81017.0,Mc Tha,52,50_60_class,1
2TuVzZPwEPqpstqmA0qLl6,161365.0,O Terno,53,50_60_class,1
28rjo4eRvpmLW0EsCIy6FW,299249.0,Ana Paula Valadão,52,50_60_class,1
7IlBcKrGUBJ0NKdnbDde89,333825.0,Sant,63,60_70_class,1
6bmZfABIjvLMAMYwujdjFy,7159.0,Mc Topre,60,50_60_class,1
21ELc2P2rA3Cu6xw3VWqvv,51030.0,Mc Kadu,59,50_60_class,1
7nMA5jUpayvsedWUkX9lx7,411137.0,Alessandro Vilas Boas,59,50_60_class,1
0Vxqvpm9tpZcz6d4egDtjX,31977.0,MC PR,58,50_60_class,1
1AY6YtpuVujP4Pa3ibD1M1,270657.0,Colo de Deus,57,50_60_class,1
4y6Ve3GJGW72qVUqalUvKi,13465.0,Weslei Santos,55,50_60_class,1
4wvAGBushcLkCZ1lEZsYMf,391621.0,Maskavo,55,50_60_class,1
74B3SJ1xNHK3VS4T9i2TvQ,353025.0,Banda Magníficos,54,50_60_class,1
1dpUJl5huB5mtceAbK2E2r,417655.0,Pregador Luo,54,50_60_class,1
5KDNpi3pjBAf4tKUKDvzkz,82089.0,Mc Dimenor Dr,53,50_60_class,1
4DdazUhIad0cymOHGifQO6,94764.0,Cortesia Da Casa,54,50_60_class,1
3YvHDhzmrkcYZuKN7A2KBK,338572.0,Sarah Farias,53,50_60_class,1
3eKjUJNwglGwLmS8dELCuC,136498.0,Mc Yago,53,50_60_class,1
7c8kQb9AUntvapfnuC3IhF,56136.0,Terno Rei,51,50_60_class,1
6OokCpvxnYv43WcFqejMLb,209504.0,Tulipa Ruiz,51,50_60_class,1
4s2oHxyGNA3QZBeWELgBJI,9763.0,Guz Zanotto,53,50_60_class,1
